PG.UniprotIds,PG.Genes,PG.ProteinDescriptions,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.UniquePeptides
A0A287BHL7;I3LC64,ECM1,Extracellular matrix protein 1,15,17,16,14,5,5,5,5,3.235524E+07,6.022923E+07,3.601095E+07,7.373043E+07,23.1%;22.4%,23.5%;22.7%,17.9%;17.4%,24.8%;24%,2.79898953437805,2.79898953437805,2.79898953437805,2.79898953437805,14,14,14,14
A0A287AE88;F1SL07,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,5,8,1,10,5,5,1,5,4229194,8052767,1855766,8098982,19.6%;17.9%,19.6%;17.9%,5.1%;4.7%,22.3%;20.4%,3.00586628913879,3.00586628913879,3.00586628913879,3.00586628913879,9,9,9,9
A0A287BFB8;A0A480M761;A0A5G2RFG3;F1SDJ8,GLRX3,Glutaredoxin 3,1,2,3,2,1,2,3,2,1000333,1937748,1424074,3660040,7.1%;7.5%;6.8%;6.9%,10.7%;11.4%;10.3%;10.6%,13.6%;14.4%;13%;13.3%,10.7%;11.4%;10.3%;10.6%,2.42206025123596,2.42206025123596,2.42206025123596,2.42206025123596,3,3,3,3
A0A287AFT5;A0A287AX97;F1SSE8,COL15A1,Collagen type XV alpha 1 chain,12,18,32,30,5,5,5,5,3.35853E+07,3.64906E+07,6.887018E+07,5.446441E+07,7.6%;7.6%;7.4%,7%;6.9%;6.8%,10.1%;10.1%;9.9%,12.8%;12.7%;12.4%,2.24043440818787,2.24043440818787,2.24043440818787,2.24043440818787,18,18,18,18
F1SU03,HSPG2,Heparan sulfate proteoglycan 2,490,413,521,604,5,5,5,5,2.397264E+09,2.753575E+09,2.723497E+09,2.787746E+09,50.1%,46.3%,49.6%,54.1%,2.98270606994629,2.98270606994629,2.98270606994629,2.98270606994629,209,209,209,209
A0A287B3S3,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,29,34,56,29,5,5,5,5,1.450547E+08,1.083732E+08,7.154959E+07,5.941185E+07,26.9%,26.4%,32.8%,23.6%,2.7597496509552,2.7597496509552,2.7597496509552,2.7597496509552,32,32,32,32
A0A287AV63;F1S7K4,PLIN4,Perilipin 4,12,16,9,4,5,5,5,4,1.397015E+07,1.190756E+07,4791964,1.738658E+07,19.8%;19.5%,19.4%;19.1%,9.8%;9.7%,7.8%;7.7%,2.45256233215332,2.45256233215332,2.45256233215332,2.45256233215332,12,12,12,12
A0A287B600,SYNM,Synemin,16,14,2,6,5,5,1,5,6896794,5153092,9371777,7375203,33.3%,26.8%,2.7%,16.5%,2.62216782569885,2.62216782569885,2.62216782569885,2.62216782569885,16,16,16,16
A0A287BPJ7;A0A5G2QGB1;A0A5G2QGJ8;A0A5G2R343;A0A5G2RB89;F1SDN2,HADHB,"Trifunctional enzyme subunit beta, mitochondrial isoform X1;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein",13,11,3,22,5,5,2,5,1.297674E+07,9388621,2752946,2.980155E+07,21.3%;22.1%;22.5%;20.9%;22.3%;19.8%,23.4%;24.2%;24.8%;22.9%;24.6%;21.7%,5.3%;5.5%;5.6%;5.2%;5.5%;4.9%,32.4%;33.6%;34.4%;31.8%;34.1%;30.1%,2.08252549171448,2.08252549171448,2.08252549171448,2.08252549171448,16,16,16,16
P08059,GPI,Glucose-6-phosphate isomerase,1,7,2,6,1,5,2,5,1074957,6663964,2347524,1.300059E+07,1.8%,10.9%,4.8%,11.8%,2.45076060295105,2.45076060295105,2.45076060295105,2.45076060295105,7,7,7,7
A0A287BA79,SPAG8,Sperm associated antigen 8,4,5,5,5,4,4,4,3,3030606,8458370,1.587887E+07,6.27327E+07,15.9%,15.9%,15.9%,11%,2.25806188583374,2.25806188583374,2.25806188583374,2.25806188583374,4,4,4,4
A0A287BPX8;A0A480JXK1;F1RHN2,ARVCF,ARVCF delta catenin family member,4,2,NaN,7,3,2,NaN,5,137965.1,893839.2,NaN,1414400,6.2%;6.3%;6.7%,3.2%;3.2%;3.5%,NaN,8.8%;8.9%;9.5%,2.30646729469299,2.30646729469299,NaN,2.30646729469299,7,7,NaN,7
A0A0A0MY58;A0A286ZNH4;A0A287A1M4;A0A287ARX1;A0A287BP38;P01846,NaN,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Ig lambda chain C region,9,12,NaN,NaN,3,4,NaN,NaN,5650736,1.387088E+07,NaN,NaN,54.8%;22%;17.6%;18.3%;15%;54.3%,69.2%;27.8%;22.3%;23.1%;18.9%;68.6%,NaN,NaN,2.52229046821594,2.52229046821594,NaN,NaN,4,4,NaN,NaN
A0A287AXU0;I3LP72,ELN,Elastin,18,20,30,23,5,5,5,5,1.471434E+08,2.500583E+08,3.138931E+08,6.835201E+08,29.1%;29.7%,29.7%;30.3%,43.6%;44.6%,32.6%;33.4%,2.66899847984314,2.66899847984314,2.66899847984314,2.66899847984314,15,15,15,15
A0A287AWV5;F1SPT5,LAMB2,Laminin subunit beta-2;Laminin subunit beta 2,149,165,72,124,5,5,5,5,4.258637E+08,4.306793E+08,2.422598E+08,3.591726E+08,39.3%;41%,37.1%;38.7%,27.5%;28.7%,34%;35.4%,3.0114860534668,3.0114860534668,3.0114860534668,3.0114860534668,82,82,82,82
F1SAE9,LAMB1,Laminin subunit beta 1,69,60,53,59,5,5,5,5,1.142813E+08,1.752438E+08,8.838727E+07,1.709898E+08,25.3%,21.4%,23.6%,22.8%,2.94031119346619,2.94031119346619,2.94031119346619,2.94031119346619,49,49,49,49
A0A287A435,LDB3,Uncharacterized protein,32,30,12,29,5,5,5,5,1.009722E+08,1.477366E+08,1.227504E+08,7.980662E+07,31.4%,29.4%,15.3%,26.9%,2.79530048370361,2.79530048370361,2.79530048370361,2.79530048370361,16,16,16,16
Q5S3G4,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",6,5,2,5,3,2,2,4,5.593052E+08,1.376236E+08,2249672,6.446812E+07,22.5%,17.8%,17.8%,23.3%,2.66403603553772,2.66403603553772,2.66403603553772,2.66403603553772,4,4,4,4
F1S2I8,TPPP3,Tubulin polymerization-promoting protein family member 3,1,4,6,4,1,2,5,3,6002417,6847243,2.016288E+07,8.410169E+07,8.5%,15.9%,35.2%,20.5%,2.52741193771362,2.52741193771362,2.52741193771362,2.52741193771362,6,6,6,6
A0A287AC34;A0A287BAK1,TLN1,Talin 1,15,32,65,41,5,5,5,5,1.798674E+07,3.945063E+07,5.722147E+07,5.097212E+07,7.7%;7.8%,15.6%;15.7%,22.6%;22.6%,16.2%;16.2%,2.80353569984436,2.80353569984436,2.80353569984436,2.80353569984436,37,37,37,37
A0A287A7R4;A0A287AQJ5;A0A287B8G0;F1SHM0,PKM,Multifunctional fusion protein;Multifunctional fusion protein;Multifunctional fusion protein;Pyruvate kinase,17,14,15,39,5,5,5,5,3.800936E+07,1.910923E+07,2.369306E+07,4.896831E+07,11.9%;12%;12.6%;18.6%,12.3%;12.5%;13%;19.3%,13.2%;13.5%;14%;20.8%,19%;19.3%;20.2%;29.9%,2.87196516990662,2.87196516990662,2.87196516990662,2.87196516990662,23,23,23,23
A0A5G2RH35;F1S6Q5,ADAMTSL5,ADAMTS like 5,1,NaN,NaN,NaN,1,NaN,NaN,NaN,38465.94,NaN,NaN,NaN,2.1%;2.1%,NaN,NaN,NaN,-1.05804920196533,NaN,NaN,NaN,1,NaN,NaN,NaN
A0A5G2QXN3,TGFBI,Transforming growth factor-beta-induced protein ig-h3,147,179,190,164,5,5,5,5,6.11337E+08,4.432933E+08,9.839955E+08,9.494383E+08,54.5%,54.3%,56.9%,56.5%,2.64891791343689,2.64891791343689,2.64891791343689,2.64891791343689,47,47,47,47
A0A286ZI58,PCP4,Purkinje cell protein 4,2,4,5,8,2,3,4,4,2713617,3.903207E+07,2.281643E+07,1.512481E+07,45.2%,45.2%,45.2%,45.2%,2.33553647994995,2.33553647994995,2.33553647994995,2.33553647994995,4,4,4,4
A0A5G2QIZ1;A0A5G2QYJ3;A0A5S6FV10;Q9N0F1,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",7,11,2,10,5,5,1,5,8740453,1.205606E+07,982901,3616425,15.9%;16%;16.4%;15.6%,17.9%;18%;18.5%;17.6%,1.8%;1.8%;1.9%;1.8%,13.2%;13.3%;13.7%;13%,2.60868144035339,2.60868144035339,2.60868144035339,2.60868144035339,8,8,8,8
P63317,TNNC1,"Troponin C, slow skeletal and cardiac muscles",6,6,3,6,5,5,3,4,3.405323E+07,3.10763E+07,8901018,7.44096E+07,34.2%,34.2%,14.9%,27.3%,2.64866042137146,2.64866042137146,2.64866042137146,2.64866042137146,6,6,6,6
A0A286ZK64;A0A287B895;A0A287BEB5;A0A5G2R212;F1S8Q4,COQ8A,"Atypical kinase COQ8A, mitochondrial;Atypical kinase COQ8A, mitochondrial;Atypical kinase COQ8A, mitochondrial;Atypical kinase COQ8A, mitochondrial;Atypical kinase COQ8A, mitochondrial",2,2,NaN,2,2,2,NaN,2,161905.1,353340,NaN,1652530,4.4%;4.5%;4.5%;4.1%;5.2%,4.4%;4.5%;4.5%;4.1%;5.2%,NaN,4.4%;4.5%;4.5%;4.1%;5.2%,2.51702308654785,2.51702308654785,NaN,2.51702308654785,2,2,NaN,2
A0A5G2QW66;F1RMR5,ISOC2,Isochorismatase domain containing 2,13,11,16,17,5,5,5,5,1.018088E+07,8936561,1.008835E+08,7.385989E+07,51.6%;55.4%,48.9%;52.5%,41.1%;44.1%,51.6%;55.4%,2.32083439826965,2.32083439826965,2.32083439826965,2.32083439826965,10,10,10,10
F1SBS4,C3,Complement C3,63,67,28,47,5,5,5,5,2.246399E+07,2.69584E+07,1.552911E+07,2.473764E+07,33.4%,33.4%,19%,27%,2.8762800693512,2.8762800693512,2.8762800693512,2.8762800693512,63,63,63,63
A0A286ZIE8,SLC25A4,ADP/ATP translocase,32,52,22,60,5,5,5,5,7.034145E+07,1.693051E+08,9.042114E+07,2.852297E+08,49%,34.9%,34.9%,46.3%,2.90585112571716,2.90585112571716,2.90585112571716,2.90585112571716,21,21,21,21
A0A287A078;F1S663,LAMC1,Laminin subunit gamma 1,145,145,91,131,5,5,5,5,6.237576E+08,9.083506E+08,5.357206E+08,6.106425E+08,39.5%;42.2%,39.8%;42.5%,32.4%;34.6%,37.9%;40.4%,2.97351622581482,2.97351622581482,2.97351622581482,2.97351622581482,79,79,79,79
F1SN67,FBN1,Fibrillin-1,260,284,266,266,5,5,5,5,3.376015E+09,3.98162E+09,4.042387E+09,4.382269E+09,38.9%,39.2%,35.9%,41.3%,2.98450541496277,2.98450541496277,2.98450541496277,2.98450541496277,116,116,116,116
A0A286ZU97,MTCH2,Uncharacterized protein,1,2,2,4,1,1,2,3,38069.72,734177.2,2071472,6406384,7.2%,7.2%,12%,14.7%,2.11625790596008,2.11625790596008,2.11625790596008,2.11625790596008,3,3,3,3
A0A286ZV66,NaN,Uncharacterized protein,22,15,8,17,5,5,5,5,4.746389E+07,8.736372E+07,4.90512E+07,4.148023E+07,44.9%,38.4%,19.5%,32.4%,2.50483298301697,2.50483298301697,2.50483298301697,2.50483298301697,23,23,23,23
F1S4Z9,CDK5RAP1,Uncharacterized protein,5,6,1,3,5,5,1,3,1377793,2475391,1820404,2740336,8.6%,9.6%,2%,6%,2.6026394367218,2.6026394367218,2.6026394367218,2.6026394367218,7,7,7,7
A0A287B272;I3LDQ1,TLN2,Uncharacterized protein,47,49,38,40,5,5,5,5,6.08141E+07,6.151663E+07,8.752406E+07,6.170198E+07,20.9%;21.3%,22.7%;23.1%,17.8%;18.1%,14.8%;15.1%,2.83921027183533,2.83921027183533,2.83921027183533,2.83921027183533,49,49,49,49
A0A286ZYX8;A0A287A1V5;A0A287BFY0,ALDOA,Fructose-bisphosphate aldolase,8,7,3,11,5,4,2,5,9295926,2.356114E+07,1340892,2.881335E+07,18.2%;13.1%;12.6%,17.1%;12.4%;11.8%,7.1%;5.1%;4.9%,24.2%;17.5%;16.7%,2.78545308113098,2.78545308113098,2.78545308113098,2.78545308113098,9,9,9,9
A0A286ZT13;A0A287BAY9,ALB,Albumin,62,57,1,1,5,5,1,1,7.436262E+07,1.363902E+08,2913189,4.148854E+07,55%;49.6%,41.8%;37.8%,1.7%;1.5%,2.2%;2%,2.73786973953247,2.73786973953247,2.73786973953247,2.73786973953247,37,37,37,37
A0A287AB52;A0A287AZP0,MFAP4,Microfibril associated protein 4,3,8,4,3,2,2,3,2,1.131346E+07,1.305927E+07,2666110,1.265208E+08,20.3%;19.4%,20.3%;19.4%,22.1%;21.1%,20.3%;19.4%,2.27127003669739,2.27127003669739,2.27127003669739,2.27127003669739,3,3,3,3
P79293,MYH7,Myosin-7,274,300,245,431,5,5,5,5,7.909932E+08,9.749517E+08,7.540671E+08,1.441073E+09,56.3%,56.4%,51.8%,60.4%,2.86247110366821,2.86247110366821,2.86247110366821,2.86247110366821,189,189,189,189
P16276,ACO2,"Aconitate hydratase, mitochondrial",24,21,11,30,5,5,5,5,3.638438E+07,6.778786E+07,8742723,3.20882E+07,30.5%,25.4%,12.3%,30.3%,2.66758036613464,2.66758036613464,2.66758036613464,2.66758036613464,26,26,26,26
A0A287A608,AHNAK,AHNAK nucleoprotein,54,60,77,59,5,5,5,5,5.600316E+07,9.219485E+07,1.206066E+08,6.733684E+07,39.2%,41.4%,43.5%,39.6%,2.76653265953064,2.76653265953064,2.76653265953064,2.76653265953064,63,63,63,63
A0A287AHM1,ATP5F1C,ATP synthase subunit gamma,7,7,4,13,5,5,4,5,1.55068E+07,1.437141E+07,3864054,9.351806E+07,26.3%,23.9%,17.2%,42.4%,2.60881686210632,2.60881686210632,2.60881686210632,2.60881686210632,11,11,11,11
A0A286ZKC5;A0A286ZR68;A0A287A9T4;A0A287BDM6;F1RQU2,HSP90AB1,HATPase_c domain-containing protein;Heat shock protein HSP 90-beta isoform a;HATPase_c domain-containing protein;HATPase_c domain-containing protein;HATPase_c domain-containing protein,1,1,5,10,1,1,5,5,4095561,3.177221E+07,7571493,6731365,1.5%;1.6%;1.7%;1.6%;1.7%,1.5%;1.6%;1.7%;1.6%;1.7%,5.5%;6.2%;6.3%;6.1%;6.2%,7.6%;8.7%;8.9%;8.6%;8.7%,2.70288181304932,2.70288181304932,2.70288181304932,2.70288181304932,7,7,7,7
A0A287A3J9;A0A5S6GSJ7;A0A5S6HC04;Q7YS99,OPTN,Optineurin,2,6,4,6,1,4,2,4,2792141,6262139,3048919,5598230,2.4%;2.2%;2.3%;2.3%,9%;8.1%;8.3%;8.4%,5.2%;4.8%;4.9%;4.9%,8.6%;7.8%;8%;8%,2.65716242790222,2.65716242790222,2.65716242790222,2.65716242790222,5,5,5,5
A0A287AMA6,SORBS2,Sorbin and SH3 domain-containing protein 2,35,28,21,47,5,5,5,5,7.212545E+07,1.72782E+08,2.158192E+08,2.260018E+08,33.9%,27.5%,25.5%,39.9%,2.91972994804382,2.91972994804382,2.91972994804382,2.91972994804382,34,34,34,34
A0A286ZXD9;A0A287A4H3;A0A287AY86;A0A287B5L5;A0A287BAB8;A0A287BBL5;A0A287BPN0,MAP4,Microtubule-associated protein,31,25,27,16,5,5,5,5,1.182477E+07,2.633608E+07,1.783679E+07,1.281488E+07,13.6%;14.2%;13.7%;14.2%;13.6%;14%;14%,11.1%;11.6%;11.2%;11.6%;11.1%;11.4%;11.4%,8.4%;8.7%;8.4%;8.7%;8.4%;8.6%;8.6%,7.2%;7.5%;7.3%;7.5%;7.2%;7.4%;7.4%,2.5452663898468,2.5452663898468,2.5452663898468,2.5452663898468,28,28,28,28
A0A287A558;A0A287BHP7;F1SKM0,UQCRC1,Ubiquinol-cytochrome c reductase core protein 1,10,8,6,12,5,5,4,5,5131030,1.475104E+07,1978782,8441837,12.5%;12.4%;13.8%,14.3%;14%;15.6%,9.1%;9%;10%,17.3%;17%;19%,2.66320204734802,2.66320204734802,2.66320204734802,2.66320204734802,11,11,11,11
Q29554,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",24,27,4,32,5,5,4,5,2.733726E+07,2.885297E+07,3.01565E+07,5.969958E+07,29.9%,31.1%,8.9%,33.9%,2.65519785881042,2.65519785881042,2.65519785881042,2.65519785881042,26,26,26,26
A0A287A8C7;A0A287B0Y8;A0A287B9H1,PLEC,Plectin,139,188,76,53,5,5,5,5,2.470613E+07,3.936958E+07,3.437097E+07,2.453099E+07,22.6%;25.4%;21.9%,27.9%;31.3%;27%,15.2%;17.1%;14.7%,10.7%;12%;10.4%,2.92008948326111,2.92008948326111,2.92008948326111,2.92008948326111,169,169,169,169
A0A286ZJ45;A0A287AP71;A0A5G2RAV3;F1SQL2,EFEMP1,Uncharacterized protein,12,20,12,17,5,5,5,5,2.709681E+07,4.023442E+07,3.545523E+07,5.298392E+07,19.9%;17.8%;18.6%;19.1%,27.7%;24.8%;26%;26.7%,24.9%;22.3%;23.3%;23.9%,22.9%;20.5%;21.5%;22.1%,2.5211501121521,2.5211501121521,2.5211501121521,2.5211501121521,12,12,12,12
P02540,DES,Desmin,82,102,45,86,5,5,5,5,1.791051E+08,3.277917E+08,1.031263E+08,2.431326E+08,75.6%,77.5%,57.1%,72.4%,2.6487603187561,2.6487603187561,2.6487603187561,2.6487603187561,62,62,62,62
A0A287BGV1,LTBP4,Latent transforming growth factor beta binding protein 4,8,6,17,18,5,4,5,5,7794607,1.407259E+07,1.035315E+07,2.640567E+07,6.6%,3.7%,10.8%,11.9%,2.57941579818726,2.57941579818726,2.57941579818726,2.57941579818726,18,18,18,18
F1SDX6,TGM2,Transglutaminase 2,53,69,73,81,5,5,5,5,6.287304E+08,8.491605E+08,1.657716E+09,1.193914E+09,33.1%,45.7%,44.8%,51.5%,2.89849519729614,2.89849519729614,2.89849519729614,2.89849519729614,48,48,48,48
F1RUM4;O02668,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,19,19,23,18,5,5,5,5,5.006118E+07,3.477302E+07,8.217581E+07,3.79858E+07,20.7%;20.4%,21%;20.7%,19.9%;19.7%,23.6%;23.3%,2.57023859024048,2.57023859024048,2.57023859024048,2.57023859024048,17,17,17,17
A0A5G2QWP1,PDCD5,Programmed cell death 5,1,2,6,6,1,2,4,4,696903,1.37962E+07,1.967987E+07,6102006,8.1%,17.7%,37.1%,37.9%,2.12470483779907,2.12470483779907,2.12470483779907,2.12470483779907,5,5,5,5
A0A5G2QZN6;Q5XLD3,CKM,Creatine kinase;Creatine kinase M-type,25,24,5,9,5,5,5,5,3.93065E+07,1.04972E+08,1.172158E+07,3.513446E+07,38.7%;38.6%,40.8%;40.7%,14.5%;14.4%,19.5%;19.4%,2.61817908287048,2.61817908287048,2.61817908287048,2.61817908287048,19,19,19,19
A0A286ZRX8;A0A287A8C2;A0A5G2QRW9;A0A5G2R269;F1SMN5,FLNC,Filamin C,86,83,37,77,5,5,5,5,4.245675E+07,7.152478E+07,2.420599E+07,7.944401E+07,35.3%;34.9%;35%;35.1%;34.9%,32%;31.6%;31.6%;31.8%;31.5%,14.8%;14.7%;14.7%;14.7%;14.6%,24.4%;24.1%;24.1%;24.2%;24%,2.86746835708618,2.86746835708618,2.86746835708618,2.86746835708618,87,87,87,87
A0A287B8U9;A0A5G2RJ01;F1S5B0,PPP1R12B,Protein phosphatase 1 regulatory subunit,1,2,1,1,1,1,1,1,29096.33,608970.9,199828.8,6253571,0.9%;0.9%;0.9%,1.2%;1.2%;1.2%,1.1%;1.1%;1.1%,1.6%;1.6%;1.6%,2.04282140731812,2.04282140731812,2.04282140731812,2.04282140731812,4,4,4,4
Q1AG08,MYOZ2,Calsarcin 1,25,30,7,11,5,5,5,5,8.20849E+07,1.12889E+08,5.089852E+07,1.348373E+08,39.4%,55.3%,22.7%,34.8%,2.43791174888611,2.43791174888611,2.43791174888611,2.43791174888611,19,19,19,19
A0A286ZZZ5;A0A287A8Z2;A0A287AP86;A0A287APY7;A0A287AY24;A0A287B891;A0A287BC27;A0A287BH37;I3LEP9;I3LNE1,LRRFIP2,LRR binding FLII interacting protein 2,1,2,1,NaN,1,1,1,NaN,57644.4,379352.2,834724.7,NaN,2.9%;3%;2.9%;2.9%;2.9%;2.9%;2.8%;2.9%;3%;2.9%,2.9%;3%;2.9%;2.9%;2.9%;2.9%;2.8%;2.9%;3%;2.9%,1.5%;1.6%;1.5%;1.5%;1.5%;1.5%;1.5%;1.5%;1.6%;1.5%,NaN,2.36245441436768,2.36245441436768,2.36245441436768,NaN,2,2,2,NaN
