PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
extracellular region	negative regulation of endopeptidase activity	metalloendopeptidase inhibitor activity	A0A286ZZX3	TIMP3	Metalloproteinase inhibitor 3	4521109	9905964	3737093	1.49134E+07	2238796	3.447436E+07	2	2	2	2	2	2
cytoplasm;;	translational elongation;;	translation elongation factor activity,GTPase activity,GTP binding;;	A0A286ZNV2;A0A5G2QNU4;A0A5K1VC16	EEF1A2	Elongation factor 1-alpha 2;Elongation factor 1-alpha;Elongation factor 1-alpha	1.561911E+07	1.794877E+07	2.847214E+08	1.89242E+08	1.046157E+08	1.555232E+08	19	19	19	19	19	19
;;;mitochondrial inner membrane,plasma membrane,proton-transporting ATP synthase complex, catalytic core F(1)	;;;ATP synthesis coupled proton transport,Requires Ontology	;;;ATP binding,proton-transporting ATP synthase activity, rotational mechanism	A0A287AGU2;A0A287BBS4;F1RPS8;P80021	ATP5F1A	ATP synthase subunit alpha;ATP synthase subunit alpha;ATP synthase subunit alpha;ATP synthase subunit alpha, mitochondrial	9580296	3.301159E+07	2.89105E+08	1.578289E+08	3.059078E+08	2.251488E+08	43	43	43	43	43	43
			A0A287BN04	PLEC	Plectin	1050817	NaN	2.448135E+07	3.984878E+07	1.27923E+07	1.487331E+07	131	NaN	131	131	131	131
;;;nucleoplasm,nucleolus,mitochondrion	;;;tricarboxylic acid cycle	;;;magnesium ion binding,isocitrate dehydrogenase (NAD+) activity,NAD binding	A0A287A9X1;A0A287AQS0;A0A5G2QJF8;F1S297	IDH3G	Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial	1.251475E+07	574049.5	9.959904E+07	9.01365E+07	2.644678E+07	1.688009E+08	11	11	11	11	11	11
;external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle	;phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation	;antigen binding,immunoglobulin receptor binding	A0A287A4Y3;F1STC5	NaN	Ig-like domain-containing protein	3396028	2100504	8728188	1.071766E+07	1.02226E+07	1.636611E+07	6	6	6	6	6	6
;pericentriolar material,acrosomal vesicle,zona pellucida receptor complex,nuclear heterochromatin,Golgi apparatus,chaperonin-containing T-complex,microtubule,myelin sheath,cell body	;'de novo' protein folding,binding of sperm to zona pellucida,positive regulation of telomere maintenance via telomerase,translocation of peptides or proteins into host cell cytoplasm,protein stabilization,positive regulation of telomerase activity,chaperone-mediated protein folding,scaRNA localization to Cajal body,toxin transport,positive regulation of establishment of protein localization to telomere,positive regulation of protein localization to Cajal body,positive regulation of telomerase RNA localization to Cajal body,regulation of macrophage apoptotic process	;ATP binding,ubiquitin protein ligase binding,protein binding involved in protein folding,unfolded protein binding	A0A287AJY2;F1SB63	TCP1	CCT-alpha	718877.6	2.859456E+07	6.615778E+07	5.480784E+07	4.840306E+07	2.879414E+07	17	17	17	17	17	17
;cytoplasmic vesicle membrane;;;	;mitotic cytokinesis,intracellular protein transport,endocytosis;;;	;phosphatidylinositol binding;;;	A0A287AHV7;A0A287BEG9;A0A5G2QN56;A0A5G2QW16;A0A5G2RCL6	SNX9	Sorting nexin	1.093619E+07	NaN	6.312118E+07	1.159591E+07	1.008076E+07	4.448341E+07	8	NaN	8	8	8	8
			A0A287BRX8	CILP	Cartilage intermediate layer protein 1	2.040368E+08	4.492703E+08	1.158777E+09	5.716352E+08	4.306825E+08	4.07812E+08	24	24	24	24	24	24
;;immunological synapse,cytosol,actomyosin,myelin sheath,extracellular exosome,endoplasmic reticulum exit site,Flemming body	;;mitotic cytokinesis,actomyosin contractile ring assembly,cell separation after cytokinesis,regulation of centrosome duplication,viral budding via host ESCRT complex,maintenance of epithelial cell apical/basal polarity,protein homooligomerization,bicellular tight junction assembly,regulation of membrane permeability,ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,positive regulation of exosomal secretion,positive regulation of extracellular exosome assembly	;;proteinase activated receptor binding,protein homodimerization activity,calcium-dependent protein binding	A0A287A5B4;A0A287AH24;F1RRD6	PDCD6IP	BRO1 domain-containing protein	1.264758E+07	3.193293E+07	1.46453E+08	1.347399E+08	1.164983E+08	1.617334E+08	41	41	41	41	41	41
proteinaceous extracellular matrix;;	;;	extracellular matrix structural constituent;;	A0A287AXU0;A0A5G2R699;I3LP72	ELN	Elastin	2.361532E+07	1.240599E+08	6.51499E+07	1.914744E+07	4.985889E+07	5.453016E+07	8	8	8	8	8	8
;;;extracellular space,extrinsic component of external side of plasma membrane,other organism cell membrane	;;;proteolysis,blood coagulation,negative regulation of cell-substrate adhesion,extracellular matrix disassembly,tissue regeneration,fibrinolysis,myoblast differentiation,muscle cell cellular homeostasis,tissue remodeling,negative regulation of fibrinolysis,positive regulation of fibrinolysis,modification by host of symbiont morphology or physiology via secreted substance,trophoblast giant cell differentiation,labyrinthine layer blood vessel development,mononuclear cell migration	;;;serine-type endopeptidase activity,receptor binding,kinase binding,protein domain specific binding,apolipoprotein binding,chaperone binding,proteasome core complex binding,protein antigen binding	A0A287A481;A0A5G2QU84;A0A5G2QXR3;F1SB81	PLG	Plasminogen	1.917316E+07	NaN	2.144188E+08	1.254356E+08	5.701563E+07	9.134679E+07	14	NaN	14	14	14	14
fibrillar center,ruffle,immunological synapse,uropod,endosome,cytosol,actin filament,microvillus,brush border,focal adhesion,extrinsic component of membrane,filopodium,macromolecular complex,ciliary basal body,myelin sheath,plasma membrane raft,perinuclear region of cytoplasm,invadopodium,cytoplasmic side of apical plasma membrane	negative regulation of transcription from RNA polymerase II promoter,intestinal D-glucose absorption,sphingosine-1-phosphate signaling pathway,leukocyte cell-cell adhesion,regulation of cell shape,positive regulation of gene expression,protein kinase A signaling,membrane to membrane docking,microvillus assembly,astral microtubule organization,actin cytoskeleton reorganization,receptor internalization,regulation of microvillus length,cellular protein complex localization,establishment or maintenance of apical/basal cell polarity,positive regulation of multicellular organism growth,cortical microtubule organization,filopodium assembly,phosphatidylinositol-mediated signaling,positive regulation of protein secretion,negative regulation of T cell receptor signaling pathway,actin filament bundle assembly,establishment of centrosome localization,establishment of endothelial barrier,negative regulation of ERK1 and ERK2 cascade,cellular response to cAMP,protein localization to plasma membrane,protein localization to cell cortex,negative regulation of interleukin-2 secretion,regulation of organelle assembly,terminal web assembly,positive regulation of protein localization to early endosome,positive regulation of protein localization to plasma membrane,positive regulation of cellular protein catabolic process,negative regulation of p38MAPK cascade,positive regulation of early endosome to late endosome transport	microtubule binding,protein C-terminus binding,protein kinase A catalytic subunit binding,protein kinase A regulatory subunit binding,identical protein binding,S100 protein binding,cadherin binding,actin filament binding,ATPase binding,disordered domain specific binding	F1SB42	EZR	Ezrin	1492832	NaN	1.828752E+07	9437134	1848445	1.913239E+07	7	NaN	7	7	7	7
cytoskeleton;;	;;	actin binding;;	A0A287AK19;A0A287BED9;F1RTN3	MSN	Moesin	1.762542E+07	2.361792E+07	2.279505E+07	3.052501E+07	4.807962E+07	2.879099E+07	13	13	13	13	13	13
;proteinaceous extracellular matrix,extracellular space,extracellular matrix	;cell adhesion,collagen fibril organization	;	A0A286ZVB7;P45846	DPT	Dermatopontin	4071190	1.676805E+07	7.694371E+07	1.688031E+08	1.04443E+08	2.446785E+08	4	4	4	4	4	4
fibrinogen complex	signal transduction,platelet activation,protein polymerization	receptor binding,protein binding, bridging	F1RX36	FGA	Fibrinogen alpha chain	2.310753E+08	1.113492E+08	2.326228E+09	1.416497E+09	1.750657E+09	1.778002E+09	41	41	41	41	41	41
;;microfibril,proteinaceous extracellular matrix	;;embryonic limb morphogenesis,positive regulation of bone mineralization,sequestering of TGFbeta in extracellular matrix,camera-type eye development,positive regulation of osteoblast differentiation,embryonic eye morphogenesis,bone trabecula formation	;;extracellular matrix structural constituent,calcium ion binding	A0A5G2QM06;A0A5G2RMW6;F1RKK1	FBN2	Fibrillin 2	8.727702E+08	4.404656E+09	1.435294E+09	4.905305E+08	5.629939E+08	9.770807E+08	14	14	14	14	14	14
;;extracellular region,collagen trimer	;;	;;	A0A5G2QGJ6;A0A5G2R2Z9;F1SKX7	COL8A1	Collagen type VIII alpha 1 chain	3213102	1.478344E+07	2.08375E+07	2.584472E+07	7600205	2.084963E+07	5	5	5	5	5	5
proteinaceous extracellular matrix,extracellular space,extracellular exosome,extracellular matrix	axonogenesis	extracellular matrix structural constituent,heparin binding	F1S6B4	PRELP	Prolargin	6.389356E+07	6.289574E+07	3.879656E+07	7.733679E+07	3.181323E+07	5.339906E+07	21	21	21	21	21	21
extracellular region,plasma membrane	negative regulation of endopeptidase activity,protein-chromophore linkage	serine-type endopeptidase inhibitor activity,IgA binding,heme binding,protein homodimerization activity	P04366	AMBP	Protein AMBP (Fragment)	2.320009E+07	4.918145E+07	5.705035E+07	1.076035E+08	4.56106E+07	2.981753E+07	5	5	5	5	5	5
ribosome	translation	structural constituent of ribosome	F6Q5P0	RPS13	40S ribosomal protein S13	6019492	5995315	631854.5	NaN	843329.4	70576.75	2	2	2	NaN	2	2
;;;;;	;;;;;	;;;;;	A0A286ZTA8;A0A287BPM1;A0A480VXI4;A0A5G2RHX8;F1RXW0;Q59IP2	COL5A2	Collagen type V alpha 2 chain;Collagen type V alpha 2 chain;Collagen alpha-2(V) chain preproprotein;Collagen type V alpha 2 chain;Collagen alpha-2(V) chain preproprotein;Collagen alpha-2(V) chain	2088195	3.00852E+07	1.730704E+07	2.3626E+07	2.204893E+07	1.001301E+07	2	2	2	2	2	2
